"","row id","country","iso3","latitude","longitude","glass_amr_enrolled","amr action plan","who_region","glass_status","nap_status_glass","number_of_priority_genomes","number_of_critical_genomes","number_of_klebsiella_genomes","nap_status_tracss","nap_type","surveillance_network","national_reference_lab","glass_status_metric","glass_data_metric","national_reference_lab_metric","surveillance_network_metric","number_of_priority_genomes_metric","number_of_critical_genomes_metric","number_of_klebsiella_genomes_metric"
"1",1,"Afghanistan","AFG","34.526643","69.184908","Y","Y","EMRO","Enrolled - Data submitted","National Action Plan - Out of Date",58,57,2,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ","No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ","Yes","Yes","No","No","50-100","50-100","1-50"
"2",2,"Albania","ALB","41.328148","19.818444","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",46,38,9,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","1-50","1-50","1-50"
"3",3,"Algeria","DZA","36.772933","3.058845","Y","Y","AFRO","Enrolled - No data submitted","National Action Plan - Current",147,67,26,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","Yes","100-500","50-100","1-50"
"4",4,"Andorra","AND","42.497918","1.503226","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"No plan exists. ","N/A","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","No",NA,NA,NA
"5",5,"Angola","AGO","-8.827270","13.243951","Y","N","AFRO","Enrolled - No data submitted","No National Action Plan",5,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","No","Yes","Partial","1-50",NA,NA
"6",6,"Antigua and Barbuda","ATG","17.118457","-61.844851","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"No plan exists. ","N/A","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","Partial",NA,NA,NA
"7",7,"Argentina","ARG","-34.608370","-58.444058","Y","Y","AMRO","Enrolled - Data submitted","No National Action Plan",1236,699,34,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","1-50"
"8",8,"Armenia","ARM","40.177711","44.512623","N","Y","EURO","Not Enrolled - No data submitted","National Action Plan - Out of Date",52,16,8,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No","50-100","1-50","1-50"
"9",9,"Australia","AUS","-35.297591","149.101268","Y","Y","WPRO","Enrolled - Data submitted","National Action Plan - Current",40818,12889,2401,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","10000-50000","10000-50000","1000-5000"
"10",10,"Austria","AUT","48.208354","16.372504","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",1858,651,132,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","500-1000","100-500"
"11",11,"Azerbaijan","AZE","40.375588","49.832801","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",1,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Unknown ","No",NA,NA,"Partial","1-50",NA,NA
"12",12,"Bahamas","BHS","25.078227","-77.338344","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","B - National action plan on AMR endorsed by government.  ","C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Partial",NA,NA,NA
"13",13,"Bahrain","BHR","26.223504","50.582244","Y","Y","EMRO","Enrolled - Data submitted","No National Action Plan",52,49,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","50-100","1-50",NA
"14",14,"Bangladesh","BGD","23.754453","90.393336","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",4644,3168,1070,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","1000-5000","1000-5000","1000-5000"
"15",15,"Barbados","BRB","13.097783","-59.618418","N","Y","AMRO","Not Enrolled - No data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes",NA,NA,NA
"16",16,"Belarus","BLR","53.902472","27.561823","N","N","EURO","Not Enrolled - No data submitted","No National Action Plan",86,13,10,NA,NA,NA,NA,"No",NA,NA,NA,"50-100","1-50","1-50"
"17",17,"Belgium","BEL","50.846557","4.351697","Y","Y","EURO","Enrolled - Data submitted","National Action Plan - Out of Date",5388,3274,110,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","Yes","5000-10000","1000-5000","100-500"
"18",18,"Belize","BLZ","17.250199","-88.770018","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ","No",NA,"Yes","No",NA,NA,NA
"19",19,"Benin","BEN","6.499072","2.625336","Y","Y","AFRO","Enrolled - Data submitted","National Action Plan - Out of Date",71,32,2,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. ","B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","Yes","Yes","Yes","No","50-100","1-50","1-50"
"20",20,"Bhutan","BTN","27.471355","89.633673","Y","Y","SEARO","Enrolled - Data submitted","National Action Plan - Out of Date",NA,NA,NA,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","C - The endorsed national action plan on AMR is being partially implemented with limited resources. "," "," ","Yes","Yes",NA,NA,NA,NA,NA
"21",21,"Bolivia (Plurinational State of)","BOL","-19.033320","-65.262740","N","N","AMRO","Not Enrolled - No data submitted","No National Action Plan",114,113,NA,"No plan exists. ","N/A","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ","Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ","No",NA,"Yes","Yes","100-500","100-500",NA
