row id,country,iso3,latitude,longitude,glass_amr_enrolled,amr action plan,who_region,glass_status,nap_status_glass,number_of_genomes,genomes_present,nap_status_tracss,nap_type,surveillance_network,sentinel_sites,national_reference_lab,glass_status_metric,national_reference_lab_metric,number_of_genomes_numeric,number_of_genomes_metric,surveillance_network_metric
1,Afghanistan,AFG,34.526643,69.184908,Y,Y,EMRO,Enrolled - Data submitted,National Action Plan - Out of Date,58,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",B - National action plan on AMR endorsed by government.  ,A - No capacity for generating data (antimicrobial susceptibility testing and accompanying clinical and epidemiological data) and reporting on antibiotic resistance.  ,0,"No, the country does not have a  national bacteriology/AMR reference laboratory performing AST for any of the bacteria.  ",Yes,No,58,1–99,No
2,Albania,ALB,41.328148,19.818444,N,Y,EURO,Not Enrolled - No data submitted,National Action Plan - Out of Date,46,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",15,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,46,1–99,Yes
3,Algeria,DZA,36.772933,3.058845,Y,Y,AFRO,Enrolled - No data submitted,National Action Plan - Current,147,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",D - Full implementation and monitoring of the national action plan on AMR with necessary financing available .  ,"D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,147,100–999,Yes
4,Andorra,AND,42.497918,1.503226,N,N,EURO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,No plan exists. ,N/A,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",2,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",No,Yes,NA,NA,No
5,Angola,AGO,-8.827270,13.243951,Y,N,AFRO,Enrolled - No data submitted,No National Action Plan,5,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",A - National action plan on AMR exists but is not endorsed by government and is not being implemented.   ,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",10,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,5,1–99,Yes
6,Antigua and Barbuda,ATG,17.118457,-61.844851,N,N,AMRO,Not Enrolled - No data submitted,No National Action Plan,NA,NA,No plan exists. ,N/A,"C - AMR data are collected  nationally for common bacterial infections in hospitalized and community patients, but data collection may not use a standardized approach and lacks national coordination and/or quality management  are lacking. ",5,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,NA,NA,Yes
7,Argentina,ARG,-34.608370,-58.444058,Y,Y,AMRO,Enrolled - Data submitted,No National Action Plan,1236,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ","D - There is a standardized national AMR surveillance system collecting data on common bacterial infections in hospitalized and community patients, with established network of surveillance sites, designated national reference laboratory for AMR, and a national coordinating centre producing reports on AMR. ",6506,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,1236,"1,000–9,999",Yes
8,Armenia,ARM,40.177711,44.512623,N,Y,EURO,Not Enrolled - No data submitted,National Action Plan - Out of Date,52,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,"B - AMR data are collected locally for common † bacterial infections in hospitalized and community patients ‡, but data collection may not use a standardized approach and national coordination and/or quality management are lacking. ",NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for some of the bacteria listed. ",No,Yes,52,1–99,No
9,Australia,AUS,-35.297591,149.101268,Y,Y,WPRO,Enrolled - Data submitted,National Action Plan - Current,40818,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ",C - The endorsed national action plan on AMR is being partially implemented with limited resources. ,E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,40818,"10,000+",Yes
10,Austria,AUT,48.208354,16.372504,Y,Y,EURO,Enrolled - Data submitted,National Action Plan - Out of Date,1858,Yes,"National action plan on AMR exists (developed, being implemented, has expired, or being revised).  ","E - Progress of the implementation of the national action plan on AMR is evaluated periodically, and the results and lessons-learned are communicated to facilitate decision and policy making. ",E - The national AMR surveillance system links AMR surveillance with antimicrobial consumption and/or use data for human health §. ,NA,"Yes, the country has one or more national bacteriology/AMR reference laboratory/s for AMR performing AST for all the 12 bacteria listed.  ",Yes,Yes,1858,"1,000–9,999",Yes
