"country_name","number_of_genomes"
"United Arab Emirates","82"
"Afghanistan","57"
"Albania","38"
"Armenia","16"
"Antarctica","5"
"Argentina","699"
"Austria","651"
"Australia","12889"
"Bangladesh","3168"
"Belgium","3274"
"Burkina Faso","77"
"Bulgaria","131"
"Bahrain","49"
"Benin","32"
"Bolivia (Plurinational State of)","113"
"Brazil","1104"
"Botswana","707"
"Belarus","13"
"Canada","10865"
"Democratic Republic of the Congo","73"
"Switzerland","4759"
"Chile","1375"
"Cameroon","10"
"China","13129"
"Colombia","915"
"Costa Rica","74"
"Cuba","4"
"Curaçao","1"
"Cyprus","86"
"Czechia (Czech Republic)","781"
"Germany","11595"
"Djibouti","30"
"Denmark","6337"
"Dominican Republic","73"
"Algeria","67"
"Ecuador","1802"
"Estonia","126"
"Egypt","410"
"Spain","6474"
"Ethiopia","626"
"Finland","419"
"Fiji","539"
"France","7961"
"Gabon","3"
"United Kingdom of Great Britain and Northern Ireland","49804"
"Georgia","16"
"Ghana","490"
"Greenland","25"
"Gambia (Republic of The)","363"
"Guadeloupe","81"
"Greece","859"
"Guatemala","1812"
"Guam","1"
"Guinea-Bissau","26"
"Guyana","7"
"Hong Kong","311"
"Honduras","8"
"Croatia","346"
"Haiti","8"
"Hungary","1146"
"Indonesia","549"
"Ireland","794"
"Israel","2595"
"India","1716"
"Iraq","29"
"Iran (Islamic Republic of)","160"
"Iceland","15"
"Italy","2376"
"Jordan","16"
"Japan","12256"
"Kenya","3180"
"Cambodia","1690"
"Republic of Korea (South Korea)","988"
"Kuwait","368"
"Kazakhstan","4"
"Lao People's Democratic Republic (Laos)","204"
"Lebanon","275"
"Sri Lanka","71"
"Liberia","1"
"Lithuania","266"
"Luxembourg","36"
"Latvia","360"
"Libya","246"
"Morocco","6"
"Montenegro","23"
"Madagascar","597"
"North Macedonia","1"
"Mali","118"
"Myanmar","292"
"Mongolia","49"
"Martinique","1"
"Malta","37"
"Malawi","105"
"Mexico","769"
"Malaysia","178"
"Mozambique","103"
"New Caledonia","7"
"Niger","135"
"Nigeria","944"
"Nicaragua","12"
"Netherlands","7057"
"Norway","4954"
"Nepal","685"
"New Zealand","4035"
"Oman","273"
"Peru","810"
"Philippines","69"
"Pakistan","1701"
"Poland","1150"
"Puerto Rico","11"
"Occupied Palestinian territory, including East Jerusalem","31"
"Portugal","2068"
"Paraguay","308"
"Qatar","599"
"Réunion","12"
"Romania","416"
"Serbia","452"
"Russian Federation (Russia)","452"
"Rwanda","135"
"Saudi Arabia","749"
"Sudan","12"
"Sweden","1506"
"Singapore","2911"
"Slovenia","912"
"Slovakia","329"
"South Sudan","7"
"El Salvador","2"
"Syrian Arab Republic (Syria)","1"
"Thailand","3959"
"Tajikistan","1"
"Tunisia","348"
"Tonga","1"
"T�rkiye (Turkey)","727"
"Trinidad and Tobago","1"
"Taiwan","518"
"United Republic of Tanzania (Tanzania)","693"
"Ukraine","173"
"Uganda","151"
"United States of America","140066"
"Uruguay","24"
"Uzbekistan","3"
"Venezuela, Bolivarian Republic of","23"
"Viet Nam","2209"
"Samoa","32"
,"5"
"South Africa","1421"
"Zambia","327"
"Zimbabwe","70"
