"country_name","number_of_genomes"
"United Arab Emirates","4"
"Afghanistan","2"
"Albania","9"
"Armenia","8"
"Argentina","34"
"Austria","132"
"Australia","2401"
"Bangladesh","1070"
"Belgium","110"
"Burkina Faso","13"
"Bulgaria","14"
"Benin","2"
"Brazil","280"
"Botswana","137"
"Belarus","10"
"Canada","839"
"Democratic Republic of the Congo","19"
"Switzerland","497"
"Chile","398"
"Cameroon","1"
"China","4210"
"Colombia","500"
"Curaçao","1"
"Cyprus","5"
"Czechia (Czech Republic)","294"
"Germany","1310"
"Djibouti","5"
"Denmark","165"
"Dominican Republic","1"
"Algeria","26"
"Ecuador","59"
"Estonia","16"
"Egypt","82"
"Spain","2393"
"Ethiopia","133"
"Finland","48"
"Fiji","128"
"France","624"
"United Kingdom of Great Britain and Northern Ireland","3424"
"Ghana","248"
"Gambia (Republic of The)","20"
"Guadeloupe","18"
"Greece","698"
"Guatemala","327"
"Guam","1"
"Hong Kong","34"
"Honduras","3"
"Croatia","135"
"Hungary","286"
"Indonesia","70"
"Ireland","240"
"Israel","375"
"India","421"
"Iran (Islamic Republic of)","51"
"Italy","1330"
"Jordan","7"
"Japan","1945"
"Kenya","560"
"Cambodia","352"
"Republic of Korea (South Korea)","109"
"Kuwait","10"
"Kazakhstan","3"
"Lao People's Democratic Republic (Laos)","10"
"Lebanon","38"
"Sri Lanka","1"
"Lithuania","164"
"Luxembourg","19"
"Latvia","287"
"Libya","21"
"Montenegro","23"
"North Macedonia","1"
"Mali","29"
"Myanmar","85"
"Martinique","1"
"Malta","17"
"Malawi","58"
"Mexico","31"
"Malaysia","38"
"Mozambique","26"
"Nigeria","224"
"Netherlands","649"
"Norway","2683"
"Nepal","157"
"New Zealand","158"
"Oman","204"
"Peru","80"
"Philippines","18"
"Pakistan","361"
"Poland","96"
"Puerto Rico","1"
"Occupied Palestinian territory, including East Jerusalem","2"
"Portugal","689"
"Paraguay","77"
"Qatar","220"
"Romania","153"
"Serbia","243"
"Russian Federation (Russia)","304"
"Saudi Arabia","338"
"Sudan","1"
"Sweden","141"
"Singapore","959"
"Slovenia","133"
"Slovakia","252"
"Thailand","1502"
"Tunisia","180"
"T�rkiye (Turkey)","508"
"Taiwan","42"
"United Republic of Tanzania (Tanzania)","196"
"Ukraine","3"
"Uganda","3"
"United States of America","18620"
"Uruguay","16"
"Venezuela, Bolivarian Republic of","3"
"Viet Nam","934"
"South Africa","824"
"Zambia","141"
