"country","taxid","country_date","count"
"AE","1280","2009",3
"AE","1280","2017",2
"AE","1280","2018",7
"AE","1280","2019",9
"AE","1280","2023",3
"AE","1280","2024",21
"AE","1280","2025",28
"AE","1352","2021-09-06",1
"AE","1352","2021-09-27",5
"AE","1813821","2020-10",1
"AE","470","2008",1
"AE","562","2009-10-25",1
"AE","562","2019-02-11",3
"AE","562","2019-05-15",8
"AE","562","2020-05",1
"AE","562","2020-06",5
"AE","562","2020-09",4
"AE","562","2020-10",3
"AE","562","2021-04",2
"AE","562","2021-06",2
"AE","562","2021-09",3
"AE","562","2023",33
"AE","562","2024",12
"AE","573","2014",1
"AE","573","2017-12-26",1
"AE","573","2018-04-23",1
"AE","573","2018-06-14",1
"AE","621","2023",1
"AE","622","2023",2
"AF","470","2007",9
"AF","470","2008",8
"AF","470","2009",10
"AF","470","2010",18
"AF","470","2018",2
"AF","562","2007",1
"AF","562","2010",1
"AF","562","2011",1
"AF","562","2015-10",5
"AF","573","2012-12-20",1
"AF","573","2013-09-20",1
"AF","90370","2012",1
"AI","1639","2012-01-01",1
"AL","1280","2020-02-29",1
"AL","1280","2020-03-03",1
"AL","1280","2020-03-09",2
"AL","1280","2020-06-11",1
"AL","1352","2020-04-21",1
"AL","1352","2020-06-12",1
"AL","287","2020-03-03",2
"AL","287","2020-03-07",1
"AL","287","2020-03-12",2
"AL","287","2020-04-15",1
"AL","287","2020-04-22",2
"AL","287","2020-05-28",1
"AL","287","2020-06-03",1
"AL","28901","1917",1
"AL","354276","2020-05-28",1
"AL","354276","2020-06-11",1
"AL","470","2020-02-27",2
"AL","470","2020-02-28",1
"AL","470","2020-03-12",1
"AL","470","2020-04-22",2
"AL","470","2020-05-20",1
"AL","470","2020-05-27",1
"AL","470","2020-07-06",1
"AL","562","2020-03-07",1
"AL","562","2020-03-09",1
"AL","562","2020-06-03",1
"AL","562","2020-06-10",1
"AL","562","2020-06-12",1
"AL","562","2020-06-18",1
"AL","562","2020-06-24",1
"AL","562","2020-06-25",1
"AL","573","2017",1
"AL","573","2018",1
"AL","573","2020-02-28",1
"AL","573","2020-03-02",1
"AL","573","2020-05-20",2
"AL","573","2020-06-18",1
"AL","573","2020-06-29",1
"AL","573","2020-07-02",1
"AM","28901","1996",2
"AM","28901","2006",2
"AM","28901","2011",5
"AM","28901","2012",4
"AM","28901","2013",8
"AM","28901","2014",5
"AM","28901","2016",9
"AM","562","2019-01-09",1
"AM","562","2019-02-05",1
"AM","562","2019-03-07",1
"AM","562","2019-03-11",1
"AM","562","2019-04-15",1
"AM","562","2019-05-07",1
"AM","562","2019-06-03",1
"AM","562","2019-06-05",1
"AM","573","2019-01-01",1
"AM","573","2019-01-09",1
"AM","573","2019-02-25",1
"AM","573","2019-04-18",1
"AM","573","2019-06-04",1
"AM","573","2019-07-19",1
"AM","573","2019-08-23",1
"AM","573","2019-09-01",1
"AM","90370","1998",1
"AO","1352","2013",2
"AO","28901","1993",1
"AO","90370","2001",1
"AO","90370","2005",1
"AQ","197","1998",3
"AQ","497724","2010",1
"AQ","562","2010",5
"AR","10710","2009-06-02",1
"AR","10710","2015",1
"AR","1280","1989",15
"AR","1280","1990",12
"AR","1280","1991",8
"AR","1280","1992",9
"AR","1280","1993",4
"AR","1280","1994",12
"AR","1280","1995",5
"AR","1280","1996",12
"AR","1280","1997",5
"AR","1280","1998",1
"AR","1280","2002",1
"AR","1280","2003",22
"AR","1280","2005",2
"AR","1280","2005-02-22",2
"AR","1280","2005-04-20",1
"AR","1280","2005-09-30",1
"AR","1280","2006",1
"AR","1280","2006-10-12",1
"AR","1280","2006-10-25",1
"AR","1280","2007",1
"AR","1280","2009",8
"AR","1280","2010",2
"AR","1280","2011",14
"AR","1280","2012-07",3
"AR","1280","2012-08",2
"AR","1280","2012-09",1
"AR","1280","2012-11",1
"AR","1280","2013-03",1
"AR","1280","2014",3
"AR","1280","2014-06",1
"AR","1280","2014-09",3
"AR","1280","2014-10",1
"AR","1280","2014-12",1
"AR","1280","2015-04",2
"AR","1280","2015-06",1
"AR","1280","2015-08",1
"AR","1280","2015-10",1
"AR","1280","2015-11",1
